,County,Month,WindSp,Precip
0,Tulare,1,1.0016129032258065,0.3153225806451613
1,Tulare,2,1.0651785714285713,0.4875
2,Tulare,3,1.2185483870967742,0.4927419354838709
3,Tulare,4,1.4766666666666666,0.0225
4,Tulare,5,1.4967741935483871,0.2129032258064516
5,Tulare,6,1.32,0.0
6,Tulare,7,1.1612903225806452,0.0032258064516129032
7,Tulare,8,1.1661290322580644,0.0008064516129032258
8,Tulare,9,1.0983333333333334,0.0
9,Tulare,10,1.0233870967741936,0.11854838709677419
10,Tulare,11,0.8475,0.3358333333333333
11,Tulare,12,0.907258064516129,0.04435483870967742
