X,Y,OBJECTID,Name,County,Latitude,Longitude,Status,Date_Data_Refers_To,Comments,Source,Last_Modified_Date,ID,DWR_Regional_Office_,Elevation,Connect,Disconnect,Last_Modified_By
-115.415835000175,33.0431510002716,41,Calipatria,Imperial,33.043151,-115.415835,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,41,SRO,-110,1983/07/17 00:00:00+00,Active,"AU, GDSS"
-121.345999999995,38.1090000001527,42,Lodi ,San Joaquin,38.109,-121.346,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,42,NCRO,23,1983/10/16 00:00:00+00,1/18/2001,"AU, GDSS"
-121.456019000376,41.0637670000935,43,McArthur,Shasta,41.063767,-121.456019,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,43,NRO,3310,1983/10/31 00:00:00+00,Active,"AU, GDSS"
-117.336983000189,33.9649419997386,44,Riverside,Riverside,33.964942,-117.336983,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,44,SRO,1020,1985/06/02 00:00:00+00,Active,"AU, GDSS"
-117.135000000269,32.7870000000451,45,San Diego,San Diego,32.787,-117.135,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,45,SRO,370,1985/06/09 00:00:00+00,4/27/1989,"AU, GDSS"
-122.064000000089,41.7920000001001,46,Macdoel,Siskiyou,41.792,-122.064,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,46,NRO,4254,1985/11/11 00:00:00+00,6/11/1986,"AU, GDSS"
-121.659729999576,37.9281539997473,47,Brentwood,Contra Costa,37.928154,-121.65973,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,47,NCRO,45,1985/11/18 00:00:00+00,Active,"AU, GDSS"
-121.427000000406,42.0030000000385,48,Tulelake,Siskiyou,42.003,-121.427,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,48,NRO,4042,1986/02/03 00:00:00+00,9/30/1993,"AU, GDSS"
-117.320000000298,33.2560000001338,49,Oceanside,San Diego,33.256,-117.32,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,49,SRO,50,1986/03/11 00:00:00+00,10/29/2003,"AU, GDSS"
-116.242000000075,33.6460000002296,50,Thermal,Riverside,33.646,-116.242,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,50,SRO,-30,1986/07/22 00:00:00+00,1/11/1999,"AU, GDSS"
-122.865999999943,38.6619999999154,51,Healdsburg,Sonoma,38.662,-122.866,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,51,NCRO,180,1986/08/24 00:00:00+00,3/28/1994,"AU, GDSS"
-120.661783000283,35.3054419998614,52,San Luis Obispo,San Luis Obispo,35.305442,-120.661783,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,52,SRO,330,1986/04/02 00:00:00+00,Active,"AU, GDSS"
-121.256999999821,36.3410000001074,53,Greenfield,Monterey,36.341,-121.257,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,53,SCRO,270,1986/10/10 00:00:00+00,10/23/1991,"AU, GDSS"
